{3}	{4}	60.00	60.00
{4}	{3}	60.00	100.00
{1}	{4}	20.00	33.33
{4}	{1}	20.00	33.33
{2, 4}	{3}	20.00	100.00
{2}	{3, 4}	20.00	33.33
{3, 4}	{2}	20.00	33.33
{4}	{2, 3}	20.00	33.33
{2, 3}	{4}	20.00	33.33
{3}	{2, 4}	20.00	20.00
{2}	{3}	60.00	100.00
{3}	{2}	60.00	60.00
{2, 4}	{1}	20.00	100.00
{1, 2}	{4}	20.00	33.33
{2}	{1, 4}	20.00	33.33
{4}	{1, 2}	20.00	33.33
{1, 4}	{2}	20.00	100.00
{1}	{2, 4}	20.00	33.33
{1}	{2}	60.00	100.00
{2}	{1}	60.00	100.00
{4}	{5}	40.00	66.67
{5}	{4}	40.00	100.00
{2}	{4}	20.00	33.33
{4}	{2}	20.00	33.33
{1, 3}	{2, 4}	20.00	33.33
{2, 4}	{1, 3}	20.00	100.00
{1, 2}	{3, 4}	20.00	33.33
{2}	{1, 3, 4}	20.00	33.33
{3, 4}	{1, 2}	20.00	33.33
{1, 2, 3}	{4}	20.00	33.33
{4}	{1, 2, 3}	20.00	33.33
{1, 4}	{2, 3}	20.00	100.00
{2, 3}	{1, 4}	20.00	33.33
{1}	{2, 3, 4}	20.00	33.33
{1, 3, 4}	{2}	20.00	100.00
{2, 3, 4}	{1}	20.00	100.00
{3}	{1, 2, 4}	20.00	20.00
{1, 2, 4}	{3}	20.00	100.00
{3}	{5}	40.00	40.00
{5}	{3}	40.00	100.00
{3, 4}	{5}	40.00	66.67
{5}	{3, 4}	40.00	100.00
{4}	{3, 5}	40.00	66.67
{4, 5}	{3}	40.00	100.00
{3}	{4, 5}	40.00	40.00
{3, 5}	{4}	40.00	100.00
{1, 3}	{2}	60.00	100.00
{1, 2}	{3}	60.00	100.00
{2}	{1, 3}	60.00	100.00
{2, 3}	{1}	60.00	100.00
{1}	{2, 3}	60.00	100.00
{3}	{1, 2}	60.00	60.00
{1}	{3}	60.00	100.00
{3}	{1}	60.00	60.00
{1, 3}	{4}	20.00	33.33
{3, 4}	{1}	20.00	33.33
{1, 4}	{3}	20.00	100.00
{4}	{1, 3}	20.00	33.33
{1}	{3, 4}	20.00	33.33
{3}	{1, 4}	20.00	20.00
